Name;Name on Shirt;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Register Position;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Response/Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality/Tenacity;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency
GARY NEVILLE;G. NEVILLE;Inglaterra;25;179;75;R;R;RB; CB LB RB;1;72;83;83;90;79;83;78;77;77;80;82;85;81;66;79;68;81;82;85;79;90;50;90;7;5;5
BELLAMY;BELLAMY;Pais de Gales;25;173;70;R;R;LWF; LMF RMF LWF RWF SS CF;1;83;49;82;87;93;82;94;83;92;76;77;77;78;78;84;76;82;69;83;83;83;45;76;5;6;6
STANLEY MATTHEWS;S. MATTHEWS;Inglaterra;25;175;71;R;R;RWF; RMF AMF RWF SS;2;87;49;79;88;90;88;96;97;90;89;83;95;85;83;83;82;86;72;74;96;89;40;89;8;6;5
NEIL FRANKLIN;N. FRANKLIN;Inglaterra;25;180;74;R;R;CB; CB;1;63;93;85;84;82;92;83;77;78;82;78;77;78;66;79;65;70;84;92;80;87;50;91;7;5;5
PHIL NEVILLE;P. NEVILLE;Inglaterra;25;180;76;R;R;RB; LB RB DMF;2;75;80;81;88;78;84;78;78;78;78;77;82;80;67;80;68;73;78;78;77;88;50;86;7;6;6
GERRARD;GERRARD;Inglaterra;25;183;79;R;R;CMF; DMF CMF LMF RMF AMF SS;1;83;72;86;93;84;85;83;84;85;89;94;91;95;83;95;84;81;78;79;88;93;50;91;8;7;6
JOE COLE;J. COLE;Inglaterra;25;175;73;R;R;LMF; LMF RMF AMF LWF RWF SS;0;81;54;79;86;82;78;87;91;85;83;80;82;81;81;82;73;81;67;77;89;77;40;75;5;5;4
IKER CASILLAS;CASILLAS;Espanha;25;185;79;L;R;GK; GK;2;31;93;84;69;75;97;86;54;58;59;60;52;65;45;83;45;50;50;90;56;87;93;80;7;4;4
MANUEL PABLO;M. PABLO;Espanha;25;176;78;R;R;RB; LB RB;2;76;72;81;93;86;81;85;80;83;77;79;82;83;69;84;66;74;78;86;80;81;50;84;7;3;3
GERARD PIQU�;PIQUE;Espanha;25;192;85;R;R;CB; CWP CB;1;74;89;87;83;82;87;77;81;75;83;85;86;88;71;80;67;69;84;83;82;82;50;84;7;6;5
XAVI HERN�NDEZ;XAVI;Espanha;25;170;68;R;R;CMF; DMF CMF AMF;2;86;70;79;91;77;82;85;91;80;98;95;93;85;80;79;84;85;71;75;95;85;40;98;7;6;5
AMARILDO;AMARILDO;Brasil;25;169;68;L;R;SS; AMF LWF SS CF;1;88;42;79;83;89;85;94;92;92;83;79;83;82;86;86;86;88;83;83;92;78;50;80;6;6;6
M. CARRERA;CARRERA;Italia;25;181;74;L;R;CWP; CWP CB LB RB;1;64;85;84;84;82;85;83;75;78;79;80;75;78;68;83;68;71;82;85;77;90;50;85;7;5;5
BIAVATI;BIAVATI;Italia;25;172;74;R;R;RWF; RWF;1;86;39;80;82;84;78;87;93;84;84;77;89;80;84;82;76;77;69;74;90;79;40;81;6;4;4
AMBROSINI;AMBROSINI;Italia;25;182;73;R;R;DMF; CB DMF CMF;1;66;79;84;90;81;83;79;76;75;79;81;78;79;71;80;68;67;87;86;78;87;50;92;7;7;6
G. BUFFON;BUFFON;Italia;25;192;85;R;R;GK; GK;1;30;95;89;69;74;97;84;63;60;64;66;65;68;46;86;45;48;55;88;60;90;96;85;8;4;4
TOM�S ROSICK�;ROSICKY;Republica Checa;25;178;67;R;R;AMF; CMF LMF RMF AMF;1;82;62;77;84;85;82;86;88;86;91;90;87;86;79;85;83;87;72;78;91;81;40;84;5;6;5
MICHAEL LAUDRUP;LAUDRUP;Dinamarca;25;182;79;R;R;AMF; AMF SS;1;87;52;84;83;84;83;86;94;88;99;90;95;85;83;86;84;86;78;79;96;78;45;89;6;7;7
JOHN ARNE RIISE;RIISE;Noruega;25;188;80;L;R;LB; LB LMF;2;78;68;86;94;85;81;85;78;84;75;83;79;92;76;95;82;78;76;78;79;83;50;82;8;4;4
T. A. FLO;FLO;Noruega;25;193;86;R;R;CF; CF;1;87;50;88;85;80;86;79;84;77;75;79;71;74;84;86;68;70;87;79;87;79;45;82;6;5;4
P. ANDERSSON;ANDERSSON;Suecia;25;186;86;R;R;CB; CWP CB;1;61;92;93;81;76;86;72;73;70;78;76;80;77;65;85;75;72;85;84;76;82;50;83;7;5;4
JONAS THERN;J. THERN;Suecia;25;182;79;R;R;CMF; DMF CMF AMF;1;75;79;84;86;82;84;82;84;82;85;82;83;81;77;86;76;78;79;81;85;86;50;87;6;6;6
MIKA LIPPONEN;LIPPONEN;Finlandia;25;173;70;R;R;CF; SS CF;1;86;36;79;85;84;87;85;83;84;75;73;70;73;85;83;69;73;76;77;84;84;50;77;6;6;6
J��SKEL�INEN;JAASKELAINEN;Finlandia;25;191;82;R;R;GK; GK;1;30;87;84;71;72;92;78;50;55;56;65;66;73;45;84;45;48;55;85;56;79;88;72;7;4;4
FERENC PLATTK�;PLATTKO;Hungria;25;188;84;R;R;GK; GK;2;31;87;87;69;73;94;80;64;53;57;56;66;71;45;80;45;45;55;84;59;85;90;80;7;5;4
VLADIMIR BEARA;V. BEARA;Croacia;25;184;82;R;R;GK; GK;1;30;92;88;69;68;97;89;52;54;57;60;62;66;45;88;44;50;50;96;53;85;95;87;7;4;4
ISTV�N NYERS;NYERS;Hungria;25;174;72;R;R;CF; LWF SS CF;1;92;38;80;83;89;87;92;87;89;79;77;81;78;89;88;75;78;87;87;86;81;50;77;7;7;8
BERNARDO SILVA;B. SILVA;Portugal;25;173;65;L;R;RWF; CMF LMF RMF AMF LWF RWF SS;1;84;58;77;91;78;78;86;94;90;86;79;86;78;84;79;76;83;67;69;93;82;40;84;7;5;4
ADRIAN MUTU;MUTU;Romenia;25;180;75;R;R;SS; LMF RMF AMF LWF RWF SS CF;1;87;46;81;84;87;85;88;87;85;82;80;83;82;85;85;87;87;82;81;90;81;50;79;7;7;5
STILIYAN PETROV;PETROV;Bulgaria;25;180;77;L;R;DMF; DMF CMF LMF RMF AMF;1;73;73;81;88;80;83;81;83;84;83;82;81;83;78;85;78;79;75;78;83;83;45;83;7;6;6
DWIGHT YORKE;YORKE;T. e Tobago;25;178;77;R;R;CF; SS CF;1;91;42;82;83;85;92;86;83;86;80;78;76;76;88;80;76;78;91;93;84;78;50;85;7;6;6
THOMAS MAVROS;MAVROS;Grecia;25;177;71;L;R;CF; LWF SS CF;2;91;42;80;84;87;89;92;87;87;81;78;76;79;90;87;79;78;88;88;87;82;50;79;7;7;6
KARAGOUNIS;KARAGOUNIS;Grecia;25;176;74;R;R;AMF; CMF LMF RMF AMF;2;78;62;76;86;80;80;84;85;83;84;82;83;80;78;84;83;83;74;75;85;84;40;83;7;5;5
TUGAY KERIMO?LU;TUGAY;Turquia;25;176;73;R;R;DMF; DMF CMF;1;76;78;83;85;78;86;78;85;80;87;85;88;87;76;88;77;77;73;76;85;87;40;87;6;6;6
AHMED HASSAN;A. HASSAN;Egito;25;178;70;R;R;CMF; DMF CMF AMF;1;79;61;81;88;81;82;82;84;83;85;84;85;83;81;86;79;82;68;78;85;86;45;88;7;5;5
AHMED SHOBAIR;SHOBAIR;Egito;25;180;78;R;R;GK; GK;1;30;88;87;68;67;89;84;54;53;60;57;67;62;54;87;47;49;55;89;60;86;91;80;6;4;3
SAMUEL ETO'O;ETOO;Camaroes;25;180;76;R;R;CF; LWF RWF SS CF;1;92;51;85;94;94;88;95;86;90;80;81;76;76;90;89;77;81;81;83;87;88;50;81;8;6;6
MIGUEL ESCOBAR;ESCOBAR;Colombia;25;176;76;L;R;CB; CWP CB;1;60;90;84;87;78;88;81;76;77;79;75;79;76;74;81;69;72;86;88;81;85;50;91;7;4;4
DIDA;DIDA;Brasil;25;195;85;L;R;GK; GK;1;30;87;89;68;67;93;76;50;51;53;62;61;64;45;86;44;46;46;85;52;82;91;76;7;3;3
RONALDINHO;RONALDINHO;Brasil;25;182;81;R;R;AMF; LMF AMF LWF SS;1;87;39;83;82;86;82;95;99;95;93;88;93;88;86;85;93;95;78;78;98;77;40;80;6;7;6
L�CIO;LUCIO;Brasil;25;188;84;R;R;CB; CWP CB;1;70;92;91;86;83;90;80;79;83;76;79;75;78;69;88;73;72;87;82;77;90;50;84;8;5;5
Z� ROBERTO;ZE ROBERTO;Brasil;25;172;67;L;R;LMF; LB CMF LMF AMF LWF;2;83;69;77;94;90;80;92;88;87;82;83;87;84;80;83;82;86;71;80;88;83;45;88;8;4;4
ALEX;ALEX;Brasil;25;176;72;L;R;AMF; AMF SS;1;87;40;78;80;80;79;83;92;83;94;84;90;84;85;85;90;93;79;76;93;79;40;89;6;6;4
ROG�RIO CENI;R. CENI;Brasil;25;188;86;R;R;GK; GK;2;47;88;85;73;74;93;82;72;74;72;75;82;82;70;85;94;91;47;85;76;94;89;86;8;5;4
VALERIANO L�PEZ;V. LOPEZ;Peru;25;188;83;R;R;CF; CF;2;95;38;90;81;80;91;81;79;80;72;72;70;71;90;93;71;69;96;90;81;75;50;75;6;6;6
LUIS EYZAGUIRRE;EYZAGUIRRE;Chile;25;175;73;R;R;RB; RB RMF;2;77;76;80;91;87;83;85;84;84;82;78;83;81;70;82;71;77;72;79;84;83;50;84;8;5;5
C. MALDONADO;MALDONADO;Chile;25;174;74;R;R;DMF; CB DMF CMF;2;69;77;81;89;78;84;82;78;76;83;82;80;80;70;83;75;79;71;77;82;83;45;87;7;5;4
SANTA CRUZ;SANTA CRUZ;Paraguai;25;192;86;R;R;CF; AMF SS CF;1;86;45;87;83;84;87;84;84;83;77;77;75;77;85;85;69;76;87;82;85;81;50;83;7;6;5
RICARDO VAGHI;VAGHI;Argentina;25;183;78;R;R;CB; CB;2;63;89;86;79;76;85;75;74;70;73;71;72;71;61;81;59;59;76;84;76;93;50;82;6;4;4
PABLO AIMAR;AIMAR;Argentina;25;170;65;R;R;AMF; AMF SS;1;83;54;75;81;83;80;88;91;87;91;85;85;81;80;83;84;84;72;83;93;74;50;83;6;6;5
HARRY KEWELL;KEWELL;Australia;25;180;73;L;R;LMF; LMF AMF LWF RWF SS;1;84;45;79;83;87;78;89;91;83;83;80;85;80;85;86;83;86;79;85;89;69;50;74;5;6;5
BRETT EMERTON;EMERTON;Australia;25;185;83;R;R;RMF; RB CMF RMF AMF RWF;2;78;66;84;87;83;80;82;86;81;79;80;82;83;73;82;78;80;73;76;83;83;50;79;6;5;5
EDDIE HAPGOOD;HAPGOOD;Inglaterra;25;178;75;L;R;LB; CB LB;1;66;87;87;87;83;84;81;82;78;79;78;82;80;67;82;68;68;86;87;81;90;50;85;7;6;5
CARRAGHER;CARRAGHER;Inglaterra;25;185;83;R;R;CB; CB LB RB DMF;2;72;89;87;87;81;86;81;74;74;76;79;78;79;65;84;64;68;85;86;76;92;50;85;7;5;5
MICHAEL CARRICK;CARRICK;Inglaterra;25;189;78;R;R;DMF; CB DMF CMF AMF;1;76;73;75;83;77;82;75;82;71;90;92;88;84;75;82;74;75;74;74;82;75;45;87;6;7;6
DENNIS WISE;WISE;Inglaterra;25;168;66;R;R;CMF; DMF CMF;1;76;75;83;90;79;85;84;79;80;84;82;83;80;78;80;73;80;70;77;82;91;50;86;7;6;6
SHAY GIVEN;GIVEN;Rep. da Irlanda;25;185;84;R;R;GK; GK;1;30;91;86;69;67;94;83;56;60;56;65;62;66;45;85;45;48;53;90;63;85;87;74;8;5;5
DAVID ALBELDA;ALBELDA;Espanha;25;182;79;R;R;DMF; DMF CMF;1;63;84;88;88;77;86;77;74;71;80;78;77;78;66;84;70;72;86;86;76;88;50;87;7;4;4
CAPDEVILA;CAPDEVILA;Espanha;25;182;78;L;R;LB; CB LB LMF;2;75;73;85;88;82;84;83;81;83;79;78;82;81;74;86;75;78;80;82;81;85;50;83;7;4;4
RICARDO GIUSTI;GIUSTI;Argentina;25;178;76;R;R;RMF; LB RB DMF CMF LMF RMF;2;74;80;82;89;80;84;79;84;81;83;79;81;78;72;81;76;76;72;78;81;81;50;88;6;6;5
VALER�N;VALERON;Espanha;25;184;74;R;R;AMF; CMF AMF;0;86;57;79;82;74;76;83;92;76;95;82;90;81;78;78;78;81;76;74;94;77;40;91;6;5;5
MARQUINHOS;MARQUINHOS;Brasil;25;183;78;R;R;CB; CB DMF;1;68;88;85;85;84;87;83;76;77;79;79;77;78;69;82;67;70;87;87;79;83;50;79;7;5;5
LEDLEY KING;KING;Inglaterra;25;188;89;R;R;CB; CB DMF;1;61;91;89;80;83;85;74;75;70;77;78;72;77;59;72;66;65;85;86;77;86;50;82;5;5;5
BILL LACEY;LACEY;Rep. da Irlanda;25;174;71;R;R;RWF; LB RB DMF CMF LMF RMF AMF LWF RWF SS;1;83;58;86;80;83;79;84;84;85;80;76;79;77;77;85;65;67;70;73;86;78;45;84;6;6;5
E. ?LJIVO;SLJIVO;Bosnia e Herzegovina;25;178;70;R;R;CMF; DMF CMF RMF AMF;1;79;73;82;88;83;84;82;86;81;90;83;86;83;77;84;75;82;74;75;85;86;45;89;7;5;5
PETRI PASANEN;PASANEN;Finlandia;25;187;84;R;R;CB; CB LB RB;1;66;80;84;83;78;82;78;73;78;73;74;74;76;67;86;70;75;82;81;74;83;50;83;6;5;5
VAN DER VAART;VAN DER VAART;Holanda;25;176;72;L;R;AMF; CMF LMF RMF AMF SS CF;1;84;53;80;83;81;83;85;89;82;88;85;88;85;83;86;86;92;77;77;91;78;45;82;7;5;4
M. VAN BOMMEL;V. BOMMEL;Holanda;25;187;85;R;R;DMF; DMF CMF;1;75;78;88;89;79;85;75;81;77;85;87;88;89;77;92;79;81;80;77;84;93;50;88;6;5;5
S. FREY;FREY;Franca;25;189;88;L;R;GK; GK;1;30;87;88;69;71;96;82;54;58;55;64;61;64;45;84;45;48;53;88;55;81;87;81;8;4;4
ANDREA PIRLO;PIRLO;Italia;25;177;69;R;R;CMF; DMF CMF AMF;1;84;70;79;84;78;82;82;92;79;94;89;97;85;82;83;96;96;70;71;94;82;40;93;7;7;7
C. ABBIATI;ABBIATI;Italia;25;191;90;R;R;GK; GK;1;30;90;90;67;66;92;76;51;54;54;63;63;66;44;83;44;46;55;82;52;80;88;73;7;4;4
C. PANUCCI;PANUCCI;Italia;25;184;73;R;R;RB; CB RB;1;70;84;82;87;82;84;80;75;76;75;76;79;80;68;83;70;76;88;84;78;87;50;88;8;6;6
MARCOS ASSUN��O;ASSUNCAO;Brasil;25;178;76;R;R;DMF; DMF CMF;1;75;73;82;85;76;75;75;81;74;86;84;90;89;79;93;96;90;72;78;85;80;50;86;7;6;5
GIULIANO SARTI;SARTI;Italia;25;178;71;R;R;GK; GK;1;30;94;86;70;72;93;85;52;55;58;63;64;68;44;83;44;48;54;90;52;83;90;84;7;4;4
THOMAS LINKE;LINKE;Alemanha;25;183;79;R;R;CB; CB;2;60;86;86;82;76;87;78;73;73;75;73;74;72;62;80;63;64;86;81;73;85;50;84;6;5;5
H�LTON;HELTON;Brasil;25;189;80;R;R;GK; GK;2;30;84;78;69;77;89;85;63;62;56;61;62;63;45;80;45;46;55;87;59;82;85;78;7;4;4
FELIPE;FELIPE;Brasil;25;175;71;L;R;AMF; LB LMF AMF LWF;1;76;52;77;82;83;76;87;91;87;85;81;85;82;77;82;85;86;71;75;88;77;40;82;6;4;3
J. PERNAMBUCANO;JUNINHO;Brasil;25;178;74;R;R;CMF; CMF AMF;1;82;63;80;85;79;82;80;88;80;89;85;92;88;85;89;98;97;71;73;88;82;50;86;5;6;5
SAVIOLA;SAVIOLA;Argentina;25;168;63;R;R;SS; LWF RWF SS CF;1;85;39;77;85;89;86;94;88;90;76;76;75;76;85;80;70;76;79;84;86;75;50;78;6;6;5
BURDISSO;BURDISSO;Argentina;25;182;81;R;R;CB; CWP CB LB RB;2;64;85;84;83;78;82;77;73;76;73;75;75;76;65;80;66;68;84;85;74;82;50;84;6;6;6
ROBERTO BAGGIO;BAGGIO;Italia;25;174;71;R;R;SS; AMF LWF RWF SS CF;1;93;44;78;82;81;85;86;96;88;94;84;92;83;94;79;94;96;78;76;97;85;40;82;7;7;7
MATSUNAGA;MATSUNAGA;Japao;25;180;74;R;R;GK; GK;1;32;84;80;65;66;88;81;50;54;55;56;63;67;47;78;43;44;46;85;52;80;85;79;6;4;4
ZUBIZARRETA;ZUBIZARRETA;Espanha;25;187;86;L;R;GK; GK;2;30;95;89;69;69;91;79;51;50;54;63;58;63;44;86;42;48;46;83;52;87;94;84;8;4;4
A. D'ALESSANDRO;DALESSANDRO;Argentina;25;174;68;L;R;AMF; CMF LMF RMF AMF LWF RWF SS;1;81;46;77;80;78;75;87;92;82;92;83;88;82;79;77;87;89;70;73;93;83;40;84;6;6;4
WALTER MEEUWS;MEEUWS;Belgica;25;185;79;R;R;CWP; CWP CB;2;60;87;89;84;81;87;82;81;78;75;74;74;75;66;84;68;72;85;83;78;90;50;84;6;5;5
MIKEL ARTETA;ARTETA;Espanha;25;176;69;R;R;CMF; DMF CMF LMF RMF AMF;0;76;73;79;84;77;78;81;86;78;89;85;89;80;74;80;83;87;68;78;87;80;45;90;5;6;6
GATTUSO;GATTUSO;Italia;25;177;77;R;R;DMF; DMF CMF;1;68;85;85;96;82;89;83;76;79;79;79;77;77;69;84;68;74;79;81;78;97;50;88;8;5;5
SANTARINI;SANTARINI;Italia;25;180;76;R;R;CWP; CWP CB;1;68;87;84;85;77;86;76;78;74;79;80;83;80;67;85;68;72;81;87;79;88;50;87;7;6;5
BOBBY MOORE;MOORE;Inglaterra;25;182;80;R;R;CB; CWP CB RB DMF;2;71;99;85;89;79;97;78;83;77;87;80;90;82;72;85;76;79;85;85;87;95;55;96;7;7;4
JOSEPH YOBO;YOBO;Nigeria;25;188;84;R;R;CB; CB RB;1;63;83;87;84;83;83;84;76;78;75;76;74;75;66;81;64;65;82;85;76;82;50;84;7;5;4
GABRIEL HEINZE;HEINZE;Argentina;25;179;74;L;R;CB; CB LB;1;68;85;85;86;79;86;80;72;73;76;83;83;83;68;85;78;78;85;88;77;85;50;82;7;5;5
GEOVANI;GEOVANI;Brasil;25;168;68;R;R;AMF; AMF SS;2;84;42;76;80;83;76;86;89;83;89;84;89;83;83;80;86;84;68;75;90;76;40;79;5;5;5
MAXWELL;MAXWELL;Brasil;25;177;78;L;R;LB; LB LMF;1;77;68;77;87;86;79;85;82;83;79;77;81;83;74;86;77;81;71;72;83;78;40;82;6;5;4
IBRAHIMOVI?;IBRAHIMOVIC;Suecia;25;195;94;R;R;CF; SS CF;1;94;33;96;84;85;84;84;93;84;86;83;85;78;89;94;83;79;83;84;95;78;50;77;7;6;5
TOMAS BROLIN;BROLIN;Suecia;25;176;77;R;R;SS; CMF AMF SS;1;87;47;84;81;83;79;86;90;84;86;83;84;81;83;83;79;83;81;78;89;77;45;81;7;6;5
PUSCEDDU;PUSCEDDU;Italia;25;179;74;L;R;LB; LB;1;77;66;82;84;84;78;79;78;76;77;79;81;84;71;91;77;79;69;69;77;79;40;79;6;4;3
FRIEDL KONCILIA;KONCILIA;Austria;25;181;81;R;R;GK; GK;2;30;87;87;69;69;90;84;53;55;56;59;59;66;45;85;44;49;46;90;51;84;90;84;7;5;4
W. VAN MOER;VAN MOER;Belgica;25;168;68;R;R;CMF; CB DMF CMF AMF SS;1;80;71;81;92;83;85;86;87;81;89;82;87;79;77;87;77;82;78;80;87;90;45;91;7;6;5
A. CATTANI;CATTANI;Italia;25;177;78;R;R;CB; CB LB RB;2;64;84;86;82;79;82;78;76;74;76;73;77;72;66;84;66;67;82;84;76;86;50;80;8;5;5
UWE SEELER;SEELER;Alemanha;25;170;76;R;R;CF; AMF SS CF;2;96;46;89;88;83;93;86;83;84;82;79;80;78;94;87;70;77;98;98;86;89;50;85;7;6;5
DUDU GEORGESCU;GEORGESCU;Romenia;25;182;73;R;R;CF; CF;1;93;37;85;82;81;95;82;81;82;75;72;72;71;89;83;71;76;91;93;82;83;50;74;6;8;7
TYMOSHCHUK;TYMOSHCHUK;Ucrania;25;181;74;R;R;DMF; CWP CB RB DMF CMF;2;67;82;83;89;78;84;75;78;76;80;84;79;84;69;86;76;77;78;83;80;84;50;86;7;6;5
E. P. GRAAFLAND;GRAAFLAND;Holanda;25;184;81;R;R;GK; GK;2;30;91;84;66;66;92;78;48;53;56;62;61;69;47;86;44;45;48;87;54;77;87;80;8;4;4
SILVIO MARZOLINI;MARZOLINI;Argentina;25;184;80;R;R;LB; LB LMF;2;79;81;86;88;83;87;82;85;82;83;79;86;84;75;84;71;79;85;87;85;83;50;87;7;6;5
DENIS LAW;DENIS LAW;Escocia;25;176;71;R;R;CF; SS CF;1;97;48;78;86;84;95;86;85;84;84;78;80;76;93;83;76;78;95;97;86;84;50;84;6;7;6
UJFALU?I;UJFALUSI;Republica Checa;25;185;76;R;R;CB; CB LB RB;2;68;85;85;84;78;84;76;75;77;75;74;76;78;69;83;68;71;82;84;74;86;50;84;7;5;5
PAVEL NEDVED;NEDVED;Republica Checa;25;177;70;R;R;AMF; CMF LMF RMF AMF;2;86;61;82;97;84;85;86;88;89;88;87;89;88;86;93;81;84;77;80;89;91;45;90;8;8;8
YURI VOINOV;VOINOV;Russia;25;174;72;R;R;CMF; LB RB DMF CMF AMF;2;77;76;84;94;82;84;80;82;76;89;82;91;84;73;92;78;76;76;76;85;87;40;91;6;6;6
M. SCHWARZER;SCHWARZER;Australia;25;194;88;R;R;GK; GK;2;30;85;88;69;64;88;72;50;52;54;56;62;67;44;81;44;44;55;77;47;76;85;76;6;4;4
PETR ?ECH;CECH;Republica Checa;25;196;92;L;R;GK; GK;1;30;94;91;65;66;95;74;50;52;58;66;60;68;44;85;44;44;47;85;62;78;95;75;7;4;3
J. A. BELL;BELL;Camaroes;25;178;77;R;R;GK; GK;1;35;87;83;70;72;91;88;59;69;60;64;63;72;45;81;45;47;50;93;60;86;88;75;7;5;5
�RIC ABIDAL;ABIDAL;Franca;25;186;75;L;R;LB; CB LB LMF;1;70;81;84;90;85;82;83;79;82;79;78;84;82;66;81;66;71;78;90;78;82;50;85;5;5;4
CRIS;CRIS;Brasil;25;183;78;R;R;CB; CB;1;64;85;85;82;78;84;77;71;75;73;73;72;73;67;83;64;64;85;90;74;84;50;82;6;5;5
MIYAMOTO;MIYAMOTO;Japao;25;176;72;R;R;CWP; CWP CB DMF;1;62;80;81;83;75;80;78;72;73;74;75;77;76;67;80;66;69;81;82;78;81;50;83;6;5;5
KAMAMOTO;KAMAMOTO;Japao;25;179;78;R;R;CF; SS CF;1;88;40;84;82;82;86;83;81;79;79;77;75;73;88;91;75;72;91;85;83;84;50;79;6;7;7
YUTAKA AKITA;KURIHARA;Japao;25;180;75;R;R;CB; CB;1;62;84;86;81;74;84;76;69;71;72;77;71;79;62;83;62;64;86;83;71;82;50;83;7;4;4
DIEGO FORL�N;FORLAN;Uruguai;25;179;77;R;R;CF; LWF RWF SS CF;1;92;48;82;86;85;88;87;85;85;82;80;84;85;91;89;82;85;78;83;88;85;50;84;7;7;7
DAVID O'LEARY;O LEARY;Rep. da Irlanda;25;185;83;R;R;CB; CWP CB LB RB;2;60;88;86;84;85;88;79;75;78;78;77;79;76;66;82;64;68;86;85;76;85;50;86;8;5;5
HANNU TURUNEN;TURUNEN;Finlandia;25;173;63;R;R;DMF; CB DMF;1;66;81;82;84;82;83;80;80;78;80;75;79;77;69;82;67;72;84;84;77;83;50;82;6;6;6
WAYNE BRIDGE;BRIDGE;Inglaterra;25;178;76;L;R;LB; LB LMF;1;74;70;80;89;83;74;80;76;80;76;77;82;84;68;80;72;75;69;78;78;77;45;80;7;5;4
ALF MCMICHAEL;MCMICHAEL;Irlanda do Norte;25;174;72;L;R;LB; CB LB;1;66;85;83;84;85;83;83;78;79;77;74;80;79;66;84;65;71;80;81;77;83;50;86;8;5;5
DIXIE DEAN;D. DEAN;Inglaterra;25;178;80;R;R;CF; CF;1;96;39;89;84;85;95;85;84;85;78;75;76;76;93;85;70;70;97;95;85;85;50;82;7;6;6
DAVE MACKAY;D. MACKAY;Escocia;25;174;78;R;R;DMF; CWP CB DMF CMF RMF;1;74;83;91;94;78;86;80;82;79;85;87;80;82;76;88;78;73;79;80;84;97;50;90;6;6;6
F. AUR�LIO;F. AURELIO;Brasil;25;178;75;L;R;LB; LB LMF;1;76;64;77;85;83;76;86;83;79;79;80;82;86;72;83;83;86;69;73;81;76;40;82;6;5;5
J�R�ME ROTHEN;ROTHEN;Franca;25;177;73;L;R;LMF; CMF LMF LWF;1;80;59;76;82;82;71;78;84;78;86;81;90;83;74;81;86;88;65;74;85;75;40;78;6;4;3
KENNY SANSOM;SANSOM;Inglaterra;25;169;68;L;R;LB; LB RB;1;75;77;78;89;84;83;85;79;83;79;77;82;79;67;81;66;68;83;84;81;84;50;85;7;4;4
JOHN HEITINGA;HEITINGA;Holanda;25;180;75;R;R;CB; CWP CB RB DMF;1;70;82;85;84;81;82;78;77;76;79;83;84;87;73;86;72;74;85;84;80;83;50;81;6;6;5
